CODPARC;RAZAOSOCIAL;NOMEPARC;NOMECID;UF;CODREG;NOMEREG;NUNOTAPEDIDO;DTNEG;VLRPEDIDO;TOTAL_CAIXASPEDIDO;PESO_PEDIDO;NUNOTAVENDA;DTFATURAMENTO;VLRNOTA;TOTAL_CAIXASFATUR;PESO_NOTA;DTENTREGA;DIAS;FATURADOENTREGA;PEDIDOENTREGA;SEQUENCIA;STATUS;STATUS_DESC
463;SUPERMERCADOS MJ DE GOIS LTDA;REDE MAIS MJ SELECT PARNAMIRIM;Parnamirim;RN;10100400;RN - PARNAMIRIM;293137;2025-11-20 00:00:00;514.8;13;155.52;294005;2025-11-24 00:00:00;70.62;2;21.6;;4;;;1;0;Em Rota
463;SUPERMERCADOS MJ DE GOIS LTDA;REDE MAIS MJ SELECT PARNAMIRIM;Parnamirim;RN;10100400;RN - PARNAMIRIM;293137;2025-11-20 00:00:00;514.8;13;155.52;293744;2025-11-21 00:00:00;444.18;11;133.92;;1;;;2;0;Em Rota
5591;JOSINEIDE DIONISIO GONCALO;MERCADINHO VITORIA;Joao Camara;RN;10101700;RN - SALINEIRA 2;292805;2025-11-18 00:00:00;306.24;10;61.824;293589;2025-11-21 00:00:00;306.24;10;61.824;;3;;;7;0;Em Rota
579;SUPERMERCADO ALTERNATIVO LTDA;SUP. ALTERNATIVO-REDE SERIDO;Currais Novos;RN;10101200;RN - SERIDÓ 2;293203;2025-11-20 00:00:00;922.8;32;266.592;293803;2025-11-21 00:00:00;922.8;32;266.592;;1;;;7;0;Em Rota
143;SENDAS DISTRIBUIDORA S/A;ASSAI ARACAJU A.FRANCO SE LJ 288;ARACAJU;SE;10500100;SE|BA-SERGIP+PAULO A;289065;2025-11-06 00:00:00;5277.87;436;2816.37;293067;2025-11-19 00:00:00;5277.87;436;2816.37;;13;;;6;0;Em Rota
6065;NORDESTE ATACAREJO LTDA;NORDESTE ATACAREJO QUEIROZ - MACAU PROF. COIMBRA;Macau;RN;10101700;RN - SALINEIRA 2;293184;2025-11-20 00:00:00;5100.57;270;2916;293591;2025-11-21 00:00:00;5100.57;270;2916;;1;;;5;0;Em Rota
2269;SUPERMERCADO VIDA NOVA EIRELI;SUP. VIDA NOVA CAICARA-REDE PARAIBA;CAICARA;PB;10200500;PB - SUPERIOR CG 1;293353;2025-11-21 00:00:00;771.24;27;156.324;294164;2025-11-24 00:00:00;57.24;1;1.644;;3;;;1;0;Em Rota
4731;NOVOS HORIZONTES ATACAREJO LTDA;NOVOS HORIZONTES ATACAREJO;Nova Cruz;RN;10101000;RN - AGRESTE 2;291438;2025-11-13 00:00:00;2612.64;55;161.184;291652;2025-11-14 00:00:00;2518.32;52;159.528;2025-11-18 00:00:00;1;4;5;19;1;Entregue
415;COMERCIAL PRAIAS BELAS LTDA;SUP. FAVORITO Z.NORTE LJ 03;Natal;RN;10100101;RN - NATAL NORTE;290757;2025-11-12 00:00:00;3024.52;61;265.416;291496;2025-11-14 00:00:00;124.72;2;27.024;2025-11-14 00:00:00;2;0;2;1;1;Entregue
4933;PS ATACAREJO SANTO ANTONIO LTDA;ATACAREJO SANTO ANTONIO;Santo Antônio;RN;10101000;RN - AGRESTE 2;291433;2025-11-13 00:00:00;2117.14;104;1126.988;291642;2025-11-14 00:00:00;2018.76;100;1076.42;2025-11-17 00:00:00;1;3;4;6;1;Entregue
2257;FLORIANO BEZERRADA SILVA;SUP. SANTA MARIA-REDE PARAIBA;MATARACA;PB;10200200;PB - SUPERIOR JP;290421;2025-11-10 00:00:00;2681.16;69;400.584;291780;2025-11-14 00:00:00;2681.16;69;400.584;2025-11-17 00:00:00;4;3;7;30;1;Entregue
541;DIA A DIA SUPER ATACADO LTDA;DIA A DIA ATACADO REBOUCAS;Mossoro;RN;10101300;RN - MOSSORÓ;293158;2025-11-20 00:00:00;13493.17;417;2755.764;293962;2025-11-24 00:00:00;1144.8;20;32.88;;4;;;1;0;Em Rota
2187;ATACADAO S.A.;ATACADAO BOA VIAGEM PE FIL. 228;Recife;PE;10300100;PE - RECIFE;292141;2025-11-17 00:00:00;10525.72;242;542.97;293506;2025-11-21 00:00:00;8815.72;212;493.65;;4;;;13;0;Em Rota
524;A L URBANO & CIA LTDA;QUEIROZ DOM JAIME(CELIA);Mossoro;RN;10101300;RN - MOSSORÓ;289074;2025-11-06 00:00:00;820.8;30;172.44;289749;2025-11-07 00:00:00;820.8;30;172.44;2025-11-13 00:00:00;1;6;7;14;1;Entregue
5591;JOSINEIDE DIONISIO GONCALO;MERCADINHO VITORIA;Joao Camara;RN;10101700;RN - SALINEIRA 2;292806;2025-11-18 00:00:00;260.8;8;89.424;293590;2025-11-21 00:00:00;260.8;8;89.424;;3;;;4;0;Em Rota
510;HIPER QUEIROZ LTDA;QUEIROZ NOVA BETANIA NOVO;Mossoro;RN;10101300;RN - MOSSORÓ;293012;2025-11-19 00:00:00;1403.04;55;338.412;293551;2025-11-21 00:00:00;1146.72;51;333.78;;2;;;8;0;Em Rota
674;NOVA ESPERANCA COMERCIO VAREJISTA LTDA;SUP. NOVA ESPERANCA-R. VALOR REAL;Currais Novos;RN;10101200;RN - SERIDÓ 2;293454;2025-11-21 00:00:00;606.96;23;161.136;293804;2025-11-21 00:00:00;606.96;23;161.136;;0;;;11;0;Em Rota
671;VANESSA DE ARAUJO SANTOS;SUP. VALDETE-R. VALOR REAL;Caico;RN;10101200;RN - SERIDÓ 2;293360;2025-11-21 00:00:00;460.92;18;133.728;293795;2025-11-21 00:00:00;460.92;18;133.728;;0;;;7;0;Em Rota
648;J G R ATACADO E VAREJO LTDA;JOSA DISTRIB DE BEB. ATACADO - R.SUPERCOP;Santo Antônio;RN;10101000;RN - AGRESTE 2;291481;2025-11-14 00:00:00;377.52;13;104.112;291579;2025-11-14 00:00:00;377.52;13;104.112;2025-11-19 00:00:00;0;5;5;3;1;Entregue
6000;VILLA PANE EXPRESS LTDA;VILLA PANE EXPRESS - PARNAMIRIM;Parnamirim;RN;10100400;RN - PARNAMIRIM;287955;2025-11-03 00:00:00;1125.66;25;85.494;287974;2025-11-03 00:00:00;1087.66;24;80.43;2025-11-03 00:00:00;0;0;0;24;1;Entregue
423;COMERCIAL BRAZAO & SANTOS LTDA;SUP. POTIGUAR LJ 03 PARNAMIRIM-SBC ATA;Parnamirim;RN;10100400;RN - PARNAMIRIM;288308;2025-11-04 00:00:00;1086.9;35;209.118;289101;2025-11-06 00:00:00;1086.9;35;209.118;2025-11-07 00:00:00;2;1;3;19;1;Entregue
4731;NOVOS HORIZONTES ATACAREJO LTDA;NOVOS HORIZONTES ATACAREJO;Nova Cruz;RN;10101000;RN - AGRESTE 2;291457;2025-11-14 00:00:00;2930.17;95;1114.93;291576;2025-11-14 00:00:00;2930.16;95;1114.93;2025-11-18 00:00:00;0;4;4;6;1;Entregue
4383;V.P. PARENTE COMERCIO DE ALIMENTOS LTDA;V P COMERCIO DE ALIMENTOS - CE;Fortaleza;CE;10700100;CE - OPERADOR LOGÍST;289229;2025-11-06 00:00:00;2880.24;111;766.44;289244;2025-11-06 00:00:00;2880.24;111;766.44;2025-11-07 00:00:00;0;1;1;15;1;Entregue
5998;SUPERMERCADO NOVA VIDA COMERCIO DE ALIMENTOS LTDA;SUP. NOVA VIDA - BAYEUX PB;Bayeux;PB;10200100;PB - JOÃO PESSOA;289536;2025-11-07 00:00:00;929.16;29;179.232;289709;2025-11-07 00:00:00;864.96;28;174.408;2025-11-11 00:00:00;0;4;4;22;1;Entregue
692;FRANCISCO DE SOUSA PIRES ARMAZEM;ARMAZEM GALDINO-TAN TAN;SAO JOAO RIO PEIXE;PB;10201000;PB|PE - ESQUERDA PAT;289449;2025-11-07 00:00:00;62080.99;2162;10987.62;289893;2025-11-07 00:00:00;60956.73;2142;10891.14;2025-11-12 00:00:00;0;5;5;21;1;Entregue
569;SUPERMERCADO PYETRO LTDA;SUP. PYETRO - REDE SERIDO;São José do Seridó;RN;10101200;RN - SERIDÓ 2;293211;2025-11-20 00:00:00;1272.36;52;355.752;293794;2025-11-21 00:00:00;1272.36;52;355.752;;1;;;7;0;Em Rota
2051;JUCENILDE DE S MIGUEL SARAIVA LTDA;MERC. NOVA ALIANCA;Parazinho;RN;10101700;RN - SALINEIRA 2;289083;2025-11-06 00:00:00;1419.6;39;259.824;289925;2025-11-07 00:00:00;1352.88;38;249.096;2025-11-11 00:00:00;1;4;5;19;1;Entregue
4253;SUPERMERCADO AVISTAO LTDA;COMERCIAL AVISTAO-REDE SERIDO;ACARI;RN;10101200;RN - SERIDÓ 2;290450;2025-11-11 00:00:00;1356.53;37;233.676;291753;2025-11-14 00:00:00;1290.29;36;223.404;2025-11-21 00:00:00;3;7;10;29;1;Entregue
5528;J R S COMERCIO E DISTRIBUICAO LTDA;COMERCIAL RODRIGUES;Natal;RN;10100101;RN - NATAL NORTE;290067;2025-11-10 00:00:00;1227.36;38;218.784;290245;2025-11-10 00:00:00;1170.0;37;213.96;2025-11-12 00:00:00;0;2;2;30;1;Entregue
3772;M I DE OLIVEIRA;MERC. PADRE CICERO TANGARA - REDE RN;Tangará;RN;10101800;RN - TRAIRI;289482;2025-11-07 00:00:00;742.68;28;187.236;289867;2025-11-07 00:00:00;631.08;26;165.78;2025-11-10 00:00:00;0;3;3;14;1;Entregue
538;REBOUCAS SUPERMERCADO LTDA;REBOUCAS BELO HORIZONTE;Mossoro;RN;10101300;RN - MOSSORÓ;289024;2025-11-06 00:00:00;715.44;21;153.072;290124;2025-11-10 00:00:00;534.0;10;107.28;2025-11-13 00:00:00;4;3;7;1;1;Entregue
529;SUPERMERCADO ACACIA LTDA;SUP. ACACIA CENTRO LJ 01 - R. QUERO BEM;MARTINS;RN;10101500;RN - AUTO-OESTE;293273;2025-11-21 00:00:00;610.68;21;156.672;293493;2025-11-21 00:00:00;610.68;21;156.672;;0;;;10;0;Em Rota
